Length,Date,Diameter,Degree,Thickness,Criteria,Original Thickness,Thickness_Difference,Year
0.979591836734694,2020-01-01,20,0.1448467966573816,0.8621880981693267,Pass,0.0,0.1378119018306733,2020
0.5306122448979591,2025-01-01,20,0.4930362116991643,0.012353267005319,Fail,0.0,0.987646732994681,2025
1.0,2022-01-01,20,0.7520891364902507,0.6057707590097303,Pass,0.0,0.3942292409902697,2022
0.5102040816326531,2022-01-01,20,0.5598885793871866,0.5784507736795311,Pass,0.0,0.4215492263204688,2022
0.3469387755102041,2022-01-01,20,0.2896935933147632,0.6234900735909203,Pass,0.0,0.3765099264090796,2022
0.7346938775510203,2022-01-01,20,0.8495821727019499,0.5261968342289887,Pass,0.0,0.4738031657710114,2022
0.0816326530612244,2020-01-01,20,0.7186629526462396,0.9231105629662006,Pass,0.0,0.0768894370337993,2020
0.9387755102040816,2025-01-01,20,0.5153203342618384,0.0695122549432051,Fail,0.0,0.9304877450567948,2025
0.5102040816326531,2025-01-01,20,0.0779944289693593,0.0240339890735944,Fail,0.0,0.9759660109264056,2025
1.0,2021-01-01,20,0.5487465181058496,0.7836408252629689,Pass,0.0,0.2163591747370312,2021
0.8775510204081632,2021-01-01,20,0.98050139275766,0.7150812414425904,Pass,0.0,0.2849187585574095,2021
0.8571428571428571,2025-01-01,20,0.1782729805013927,0.0906406003903862,Fail,0.0,0.9093593996096138,2025
0.1428571428571428,2023-01-01,20,0.2590529247910863,0.3810227765853131,Warn,0.0,0.6189772234146869,2023
0.2448979591836734,2025-01-01,20,0.5515320334261838,0.0939000248606018,Fail,0.0,0.9060999751393982,2025
0.0408163265306122,2022-01-01,20,0.4066852367688022,0.5407166484265719,Pass,0.0,0.4592833515734281,2022
0.8775510204081632,2021-01-01,20,0.9860724233983288,0.8298378361381178,Pass,0.0,0.1701621638618823,2021
0.0612244897959183,2023-01-01,20,0.841225626740947,0.459567851382924,Pass,0.0,0.540432148617076,2023
0.1020408163265306,2020-01-01,20,0.83008356545961,0.8434124157906217,Pass,0.0,0.1565875842093783,2020
0.6122448979591836,2021-01-01,20,0.7632311977715878,0.8091823624212969,Pass,0.0,0.1908176375787031,2021
0.7959183673469387,2025-01-01,20,0.6740947075208914,0.0078023450899349,Fail,0.0,0.9921976549100652,2025
0.6530612244897959,2020-01-01,20,0.935933147632312,0.8558684571463311,Pass,0.0,0.144131542853669,2020
0.8775510204081632,2025-01-01,20,0.1782729805013927,0.0350927147191375,Fail,0.0,0.9649072852808624,2025
0.2653061224489795,2022-01-01,20,0.3175487465181058,0.5363677532508179,Pass,0.0,0.4636322467491821,2022
0.5306122448979591,2022-01-01,20,0.5097493036211699,0.6065434700405999,Pass,0.0,0.3934565299594001,2022
0.7346938775510203,2023-01-01,20,0.1114206128133704,0.4609550514698557,Pass,0.0,0.5390449485301443,2023
0.4489795918367346,2020-01-01,20,0.2701949860724234,0.8886247497176557,Pass,0.0,0.1113752502823443,2020
0.4897959183673469,2020-01-01,20,0.5626740947075209,0.961216580117358,Pass,0.0,0.038783419882642,2020
0.7346938775510203,2021-01-01,20,0.4763231197771588,0.7752234802092188,Pass,0.0,0.2247765197907811,2021
0.6326530612244897,2023-01-01,20,0.9108635097493036,0.4070967140834935,Warn,0.0,0.5929032859165064,2023
0.3673469387755101,2021-01-01,20,0.2061281337047353,0.8066652552994812,Pass,0.0,0.1933347447005188,2021
0.5102040816326531,2025-01-01,20,1.0,0.0707099165404288,Fail,0.0,0.9292900834595712,2025
0.8775510204081632,2022-01-01,20,0.5682451253481894,0.6460883312899378,Pass,0.0,0.3539116687100622,2022
0.6326530612244897,2021-01-01,20,0.1225626740947075,0.691231919460326,Pass,0.0,0.3087680805396739,2021
1.0,2024-01-01,20,0.8495821727019499,0.2857261656006058,Warn,0.0,0.7142738343993942,2024
0.7346938775510203,2020-01-01,20,0.8440111420612814,0.9877912660127072,Pass,0.0,0.0122087339872929,2020
